Team name,Team ID,Games,PPG,OPP PPG,Win %,FTPG,FT%,FGPG,FG%,3FGPG,3FG%,APG,TOPG,RPG,OPP RPG,STPG,PFPG
Villanova,328,34,77.7,62.8,91.2,19.1,79.4,54,49.7,23.8,37,14.3,11.2,33.4,29.8,7.2,14.2
Mt. St. Mary's,181,34,68.3,68.6,55.9,18.1,67.5,55.1,44.4,20.3,35.7,11.1,13.1,30.3,37.6,6.2,18
Wisconsin,345,34,71.9,61.4,73.5,18.6,64.4,58,45.2,21.3,35.5,13.5,11,37.3,31,6.9,15.7
Virginia Tech,330,32,79.3,74.4,68.8,22.3,73.4,55.1,49,22,40.3,15.1,12.1,32.5,34.7,4,16.4
Virginia,329,32,66.6,55.6,68.8,13.8,70.8,53.7,46.4,17.8,39.3,14.3,9.5,32.9,29.5,5.7,16.3
UNCW,312,34,85.2,74.9,85.3,20.3,69.2,63.8,48.2,26.2,36.6,16.2,10.4,35.9,33.9,6.8,20
Florida,87,32,78.3,66.6,75,23.9,72.6,59.2,45,21.4,36.2,12.6,11.8,37.3,35.4,7.6,18.6
ETSU,80,34,79.9,69.4,79.4,24.7,70.4,56,49.1,19.7,38.3,14.8,14.8,36.4,31.9,8.4,20
SMU,261,34,74.5,59.8,88.2,20.2,69.5,55.3,47.4,20.1,40.6,16.4,10.9,38.4,29.3,5.7,14.4
Southern California,270,33,78.7,73.2,72.7,22.3,73.9,59.9,45.4,21.6,36.3,15.3,11.2,36.1,35.7,7.2,15.9
Baylor,21,32,72.7,62.7,78.1,19,71.7,55.6,47.1,18.8,35.9,15.7,13.4,38,29.1,5.1,17.7
New Mexico St.,191,33,78.9,67.2,84.8,25.2,71.2,57.4,46.8,22,33.7,14.8,13.8,39.8,32.9,4.8,18.5
South Carolina,263,32,72.1,64.5,68.8,23.4,69,59.3,41.4,20,33.8,12.6,13.4,36.3,35.4,7.8,20.8
Marquette,158,31,82.5,75,61.3,18.4,77.9,59.2,48.7,24.4,43,16.5,12.2,33.3,33.5,7.4,19.4
Duke,72,35,80.7,69.8,77.1,22.6,75.8,58,47.7,21.9,37.6,13.1,11.3,36.3,33.5,5.9,18.1
Troy,295,36,78.4,71.7,61.1,23.2,72.2,58.2,45.7,23.5,36.2,13.2,12.4,36.9,34.3,6.1,17.6
Gonzaga,102,33,84.6,61.2,97,22.4,73.8,58.6,51.8,19.1,38.2,16,11.3,40.3,32.5,7.2,16.5
South Dakota St.,266,34,77.6,77.4,52.9,22.7,77.6,55.3,45.9,25.4,36.3,13.3,12.9,35,33.7,5.2,16.7
Northwestern,207,34,71.1,65.1,67.6,17.9,75.1,58,43.6,20.8,34.1,15.3,10.5,36.2,35.4,5,19
Vanderbilt,325,34,71.3,68.1,55.9,18.9,77.6,54.1,43.1,26.3,37.7,13,12.4,34.6,34.4,4.1,16.6
Notre Dame,209,34,78,69.2,73.5,16.9,79.9,59.8,46.1,24.4,38.6,16,9.4,33.8,35.6,7.2,14.9
Princeton,230,29,72.1,61.5,79.3,14.1,73.4,57.2,45.2,26.1,38.3,14.3,10,33.4,33.4,6.8,16.1
West Virginia,337,34,82,66.3,76.5,24.2,67.8,63.3,45.8,20.9,36.1,16.7,12.3,37.3,34.7,10.4,20.6
Bucknell,32,34,76.1,67.4,76.5,20.8,67.9,55.9,48.1,21.6,37.7,14.6,13.3,34.4,33.3,7.2,18.5
Maryland,160,32,74.2,67.8,75,22.3,69.8,55.8,45.1,22.8,36.3,14.3,13,35.9,35.2,5.4,18.6
Xavier,349,34,74.6,71.4,61.8,23.4,68.8,56.7,45.4,20.7,34,14.9,12.8,37.6,31,6.1,18.8
Florida St.,89,33,82.5,71.3,75.8,23.2,69.2,61.6,48.3,19.3,35.6,14.7,11.8,37.7,34.2,7.4,19.4
FGCU,84,33,79.4,68.8,78.8,19.5,70.2,59.1,50.2,18.4,35,15.4,12.4,37.7,31.5,6.1,18.6
Saint Mary's (CA),246,32,72,56.5,87.5,14.1,74.8,53.1,49.6,22.1,39.9,16.8,10.5,35.6,26.3,4.2,14.8
VCU,326,34,74.7,66.4,76.5,21.2,70.7,58.4,46.1,17.3,33.4,15.3,12.5,36.6,33.8,7.5,20.5
Arizona,12,34,76.3,65.4,88.2,22.6,75.8,55.1,47.6,16.9,39.8,13.8,11.4,36.8,29.9,5.5,17
North Dakota,198,31,80.5,72.8,71,22,71.8,59.7,48.3,18.2,38.7,15.1,13.3,35.9,35,7.9,20.9
Kansas,132,32,82.7,72.4,87.5,22.3,66.6,60.7,48.7,21.5,40.5,16.3,13.1,38.8,34.8,6.9,18.1
UC Davis,299,34,70.5,68.9,64.7,23.2,66.5,55.8,43.7,17.6,35.4,12.9,14.1,35.6,34.3,5.7,19.4
Miami (FL),165,32,69.4,63.7,65.6,18.8,71.8,54.6,45.3,17.8,35.9,11.9,12.7,36,31.5,6.4,15.6
Michigan St.,168,33,71.7,68.4,57.6,18.6,66.4,55.1,46.8,20.9,37.6,17,14.2,36.7,33.1,4.5,20.3
Iowa St.,126,33,80.9,72,69.7,17.3,69.6,62.8,46.9,24.8,40.2,15.8,10.2,34.9,38.5,7.9,16
Nevada,188,34,80,70.9,82.4,24.8,70.3,59.3,45,23.9,38.5,16.1,11.1,38.9,35,5.3,16.7
Purdue,232,32,80.1,67.2,78.1,20,76.4,58.3,48,22.2,40.6,18.1,13.1,37.9,31.1,5.2,15.8
Vermont,327,34,73.6,61.6,85.3,18.9,70.2,54.4,49.6,17.5,36.9,13.4,11.3,34.2,30.2,5.7,15.9
Creighton,59,34,82.1,72.5,73.5,16.9,68.2,60.9,50.8,21.9,39.9,17.3,12.5,34.9,35.9,6.2,16.6
Rhode Island,235,33,73.4,64.9,72.7,22.8,65.7,57.6,45.2,18.5,34,13.4,11.2,37.4,34.5,6.4,20.9
Oregon,219,34,79.1,65,85.3,20.2,71.1,58.3,48.1,22.7,37.8,16.4,11.6,36.4,32.5,6.5,16
Iona,124,34,80.5,76.4,64.7,19.2,77,61.5,45.5,24.6,39.7,15.6,12.1,36,38.2,6.9,19.2
Michigan,167,35,74.8,65.5,68.6,16.6,77.5,54.4,48.3,24.6,38.1,13.8,9.4,29.4,31.3,5.9,15.1
Oklahoma St.,214,32,85.5,78,62.5,24.1,78.7,62.1,46.4,22.4,40.1,14.7,13.2,36.7,33.2,7.8,22.2
Louisville,150,32,77.5,65.8,75,21.3,68.5,61.3,45.5,19.9,35.8,13.6,11.2,39.7,33.9,6.8,19.5
Jacksonville St.,130,34,69.7,67.6,58.8,18.8,71.2,53.6,45.7,19.6,37.2,14.1,13.6,35.9,31.8,4.6,18.1
North Carolina,197,34,84.9,70.6,79.4,22.1,70.5,65.9,47.1,19.8,36.6,18.2,11.9,43.5,30.8,6.9,17.8
Texas Southern,289,34,74.4,71.7,67.6,25.8,73.4,57.6,43.1,19.6,29.6,11.8,11.6,35.3,37.2,7.2,17.4
Arkansas,15,34,79.8,74,73.5,23.4,76.2,60.2,46.1,17.9,36.4,14.1,11.7,36.3,36.1,7.5,20.6
Seton Hall,257,32,73.3,70.2,65.6,22.3,64.3,58.7,45,18.1,33.8,12.3,13.6,39.6,32.9,6.9,18.6
Minnesota,171,33,75.3,69.1,72.7,23.8,70.7,60.2,43.5,17.9,34.4,14.9,11.7,39.9,38.6,5.7,16.9
Middle Tenn.,169,34,75,63.3,88.2,17.4,69.8,57.7,49,17.4,36.8,15.3,10.4,35.5,30.4,6.9,18.1
Butler,34,31,76.3,68.4,74.2,20.3,74,56.1,47.8,21,36.3,13.2,10.2,32,31.4,6.2,18.9
Winthrop,344,32,79.7,70.2,81.3,22.3,72,59.2,45.7,25.4,37.3,12.8,13.2,37.4,36.4,6.6,18.2
Cincinnati,48,34,74.5,60.8,85.3,19.3,68.3,59.3,45.4,21.6,34.3,15.8,10,37.2,32.7,7.5,16
Kansas St.,133,33,71.7,66.9,60.6,21.9,68.9,54,45.8,19.7,36.1,15,13.1,32.8,33.9,7.8,17.7
UCLA,304,33,90.4,75.3,87.9,17.5,74.5,65,51.9,24.5,40.5,21.5,11.5,39.2,35,6.1,16.5
Kent St.,135,35,76.9,72.3,62.9,21.2,71.9,63.8,42.8,22.3,31.8,12.5,13.1,40.5,34.5,6.5,19.1
Dayton,64,31,76.5,66.5,77.4,24.1,68.9,55,47,20.9,38.7,15.8,11.9,34.5,34.3,7.8,18.6
Wichita St.,342,34,82.1,62.4,88.2,23.9,73.4,59,47.3,21.3,40.8,16.6,11.1,40.9,32,6.9,18.9
Kentucky,136,34,85.9,71.6,85.3,26.4,70.1,63.3,47.7,20,35.3,15.5,12,40.2,34.7,6.1,19.3
Northern Ky.,206,34,76.1,71.4,70.6,21.4,67.6,57.8,45.9,24.3,35.3,14,13.5,37.6,32.9,5.7,17.7